Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
"661 Kapur, semen, dan konstruksi fabrikasi bahan (kecuali bahan kaca dan tanah liat)",104.73,107.86,117.37,96.16,94.69,95.32,91.24,93.87,95.98,99.06,87.04,88.66,98.12
662 Bahan konstruksi dari tanah liat dan bahan konstruksi tahan api,102.02,87.25,115.01,83.8,94.25,77.69,100.57,106.09,94.62,99.47,97.53,103.16,96.89
"663 Produsen mineral, tidak dirinci",118.65,120.42,111.37,122.77,117.79,124.02,123.36,114.17,116.92,119.53,106.74,107.74,117.49
664 Kaca,121.11,110.83,104.41,112.78,101.7,109.73,108.94,108.73,108.52,108.65,107.79,91.31,107.48
665 Barang pecah belah,104.76,108.06,105.15,132.56,110.29,106.06,104.41,104.32,107.33,113.93,96.06,86.45,106.09
675 Produk gulungan datar dari baja campuran,104.7,111.5,101.15,103.85,113.42,109.03,110.32,110.74,102.95,103.66,103.51,110.47,106.85
"676 Jeruji besi dan baja, batang, ujung, bentuk dan bagian (termasuk lapisan tiang pancang)",89.63,87.21,83.35,45.82,70.16,67.88,78.27,93.15,70.84,52.32,63.39,61.69,73.75
678 Kawat dari besi atau baja,110.94,108.56,109.19,106.79,103.45,102.32,87.06,117.12,116.39,101.93,87.78,120.35,105.71
682 Tembaga,120.24,118.28,123.86,133.88,143.57,142.26,144.8,148.28,151.74,153.05,147.85,144.17,139.35
684 Aluminium,107.18,158.83,108.88,106.07,114.93,185.85,141.58,92.3,119.13,140.64,257.22,317.48,142.85
"691 Struktur dan bagian struktur, tidak dirinci, dari besi, baja atau aluminium",68.45,412.72,164.51,193.84,132.82,236.37,122.96,152.85,125.25,104.1,127.25,129.84,188.21
693 Produk kawat ( tidak termasuk kabel listrik terisolasi) dan pagar pemanggang,96.18,105.53,94.65,100.74,87.86,94.13,95.99,89.34,104.85,321.02,95.37,87.16,128.82
"694 Paku, sekrup, mur, baut, paku keling dan sejenisnya, dari besi, baja, tembaga atau aluminium",140.57,155.73,145.54,134.42,137.68,127.49,133.17,129.03,139.95,145.1,152.01,133.97,140.11
"697 Peralatan rumah tangga dari logam dasar, tidak dirinci",84.27,76.06,67.44,73.65,73.94,85.16,81.6,66.7,81.11,100.49,48.76,75.45,75.85
"699 Produk logam dasar, tidak dirinci",138.78,118.11,144.54,109.37,109.13,122.1,144.96,112.01,126.65,128.05,141.78,147.55,128.46
"713 Mesin internal pembakaran piston dan bagian-bagiannya, tidak dirinci",101.73,102.95,100.32,96,97.45,109.6,109.25,102.77,102.71,102.61,102.98,101.8,102.82
"742 Pompa air, ada atau tdk dilengkapi alat ukur, lift cair; bagian dari pompa dan lift",120.16,85.17,48.91,65.57,49.97,86.05,60.38,43.55,73.74,102.48,79.59,87.66,74.16
"743 Pompa (selain pompa air) udara atau gas lainnya, kompresor dan kipas angin; ventilasi atau penutup daur ulang dilengkapi dengan kipas angin, dilengkapi atau tidak dengan filter; sentrifugal, alat penyaringan atau pemurnian ; dan bagiannya",104.27,101.72,101.9,103.71,123.46,108.52,100.99,103.78,103.89,110.6,105.1,105.28,106.46
"747 Kran, kran, katup dan alat sejenis untuk pipa, ketel uap, tanki, tong atau sejenisnya, termasuk katup penurun tekanan dan katup termostaik yang dikendalikan",140.07,150.42,166.37,121.74,113.92,110.68,121.28,142.45,105.73,124.03,130.67,141.27,131.07
"748 Poros transmisi (termasuk camshaft atau crankshaffts) dan engkol, bantalan rumah dan poros polos; gigi dan gir, bola atau rol sekrup, kotak gir dan pengubah kecepatan lainnya(termasuk konverter torsi); roda gaya dan puli",108.74,105.55,114.66,118.04,132.22,99.55,120.82,98.55,119.69,123.96,116.51,131.45,116.07
751 Mesin kantor,128.58,136.86,129.96,110.82,109.5,113.07,109.73,120.53,114.22,118.36,129.03,131.47,120.95
"762 Pesawat penerima siaran radio, dikombinasi atau tidak, di pusat yang sama dengan alat rekaman suara atau jam",137.26,135.61,150.99,142.87,144.22,135.49,132.68,136.39,146.62,138.47,143.09,138.27,139.96
771 Mesin pembangkit listrik (selain pembangkit listrik di kelompok 76) dan bagiannya,127.1,108.27,113.21,117.44,125.55,121.78,128.66,128.19,141.86,132.38,145.31,144.55,127.08
"772 Alat listrik untuk berganti atau melindungi sirkuit listrik atau untuk membuat koneksi ke atau pada sirkuit listrik (misalnya switch, relay, sekring, penangkal petir, pembatas tegangan, penekan kenaikan tegangan, colokan dan soket, lampu pegangan dan junct",96.03,96.89,105.96,90.12,104.96,98.39,101.96,105.53,115.88,110.36,100.1,120.71,103.27
"773 Peralatan untuk menyalurkan listrik, tidak dirinci",119.86,124.18,119.17,117.72,117.94,118.01,116.76,118.58,122.94,132.33,124.92,124.37,121.26
"775 Peralatan elektronik atau non-elekronik rumah tangga, tidak dirinci",122.78,121.74,122.94,130.88,122.36,124.15,122,124.73,131.97,131.49,117.52,104.61,123.7
"778 Mesin dan peralatan listrik, tidak dirinci",135.49,135.53,124.68,132.92,116.46,127.8,146.5,133.4,153.09,127.14,138.67,131.32,132.52
"781 Mobil dan kendaraan bermotor lainnya yang terutama didesain untuk pengangkutan orang (selain kendaraan bermotor untuk pengangkutan sepuluh orang atau lebih, termasuk pengemudi), termasuk stasiun-wagon dan mobil balap",111.18,108.09,115.14,117.06,112.9,111.64,113.6,113.21,116.12,112.44,109.1,94.18,111.64
782 Kendaraan bermotor untuk pengangkutan barang dan kendaraan bermotor tujuan khusus,66.62,65.26,58.22,90.44,76.19,86.61,90.89,97.7,59.37,100.44,101.68,84.73,80.1
"784 Bagian dan aksesori kendaraan bermotor dari kelompok 722, 781, 782 dan 783",104.03,104.45,102.01,98.71,97.63,101.59,97.54,96.27,99.76,99.47,102.8,105.06,100.77
"785 Sepeda motor (termasuk moped) dan sepeda, bermotor dan tidak bermotor; gerbong yang tidak valid",117.31,114.29,117.79,118.57,115.74,111.14,114.3,108.12,111.41,117.84,109.74,99.56,112.9
"813 Perlengkapan dan peralatan pencahayaan, tidak dirinci",122.67,161.87,102.75,79.75,88.64,87.34,109.25,84.54,119.78,89.04,166.7,77.04,115.32
"821 Furnitur dan bagiannya; selimut, kasur, barang pembuat kasur, bantal dan barang perabot sejenisnya",99.95,104.99,106.9,101.52,104.93,110.13,111.86,111.36,109.9,103.09,112.92,112.66,107.52
"831 Bagasi, koper, kotak rias, tas eksekutif, tas sekolah, tempat kacamata, tas teropong, tas kamera, tas alat musik, tas pistol, sarung dan wadah semacamnya; tas bepergian, tas makanan atau minuman, tas toilet",99.86,108.37,97.06,91.89,99.74,96.07,94.61,93.11,88.01,92.15,85.02,84.89,94.57
"841 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",119.12,122.16,136.78,123.85,118.35,105.47,115.57,118.91,119.61,131.83,123.03,131.85,121.93
"842 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",114.34,121.68,113.93,129.13,117.53,108.38,111.89,113.99,110.74,116.97,127.08,118.4,116.83
"843 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",98.3,98.59,115.31,106.08,103.25,93.54,102.52,97.42,108.56,104.58,90.7,110.55,101.99
"844 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",108.65,121.07,114.73,109.71,113.77,107.72,109.88,111.32,113.89,109.55,117.58,102.99,111.51
"845 Pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak, tidak dirinci",118.19,116.54,106.76,113.67,113.06,112.64,107.76,114.85,121.03,129.59,125.19,117.5,116.25
"846 Aksesoris pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak (selain untuk bayi)",91.3,96.31,72.9,101.63,120.63,97.14,98.75,96.37,104.85,109.07,115.37,104.02,100.98
848 Artikel dari pakaian dan aksesori pakaian selain dari kain tekstil; tutup kepala dari semua bahan,125.24,112.25,122.99,119.23,121.44,132.8,118.18,130.62,133.67,121.18,121.8,121.96,123.4
851 Alas kaki,102.57,101.64,102.1,99.82,95.21,97,97.78,94.01,99.29,92.64,93.99,93.78,97.17
"872 Instrumen dan peralatan, tidak dirinci, untuk tujuan medis, bedah, perawatan gigi atau kedokteran hewan",130.13,110.09,125.73,92.09,157.74,134.02,104.01,159.45,120.71,163.24,104.95,116.58,126.97
"873 Meter dan counter, tidak dirinci",142.76,145.08,140.77,78.83,78.08,139.48,142.91,129.68,119.35,126.1,137.58,119.85,125.05
"884 Barang-barang optik, tidak dirinci",85.67,84.93,95.47,87.53,87.2,78.55,80.89,89.65,92.16,109.08,80.69,59.31,86.02
"893 Barang dari plastik, tidak dirinci",109.29,124.92,98.13,114.32,97.07,116.16,113.19,107.33,103.02,97.8,89.48,96.09,105.43
"894 Kereta bayi, mainan, game dan barang olahraga",91.99,95.82,90.36,96,94.37,98.85,96.93,93.07,95.28,92.34,98.12,98.4,95.09
"895 Persediaan kantor dan alat tulis, tidak dirinci",80.01,98.84,83.94,76.09,104.09,99.26,86.42,62.85,84.15,72.05,88.86,97.16,86.89
"897 Perhiasan, emas dan perak, dan barang lainnya dari bahan mulia atau semi mulia, tidak dirinci",137.87,129.9,154.17,160.04,167.95,221.26,211.71,195.54,259.32,201.2,224.52,211.75,183.11
"898 Alat musik dan bagian dan perlengkapannya; rekaman, kaset dan suara atau mirip rekaman lainnya (tidak termasuk barang dari kelompok 763 dan 883)",146.72,140.43,81.74,138.87,132.74,128.3,133.93,127.32,144.8,137.14,132.17,189.98,136.06
"899 Aneka macam barang produksi yang terpisah, tidak dirinci",113.88,116.4,99.52,102.32,108.5,103.96,114.57,120.5,97.07,114.5,107.61,115.24,109.62
"971 Emas, non-moneter (tidak termasuk bijih emas dan konsentrat)",0,10.85,9.88,11.15,10.67,12.91,11.75,14.23,15.48,18.61,19.07,12.86,13.31
TOTAL EKSPOR,119.91,117.48,114.11,119.37,119.69,122.43,120.92,123.01,129.51,132.72,136.77,141.95,124.83
